No,Question,Answer,Checking Result,Source
,Siapa yang dimaksud dengan Otoritas Jasa Keuangan (OJK) dalam peraturan ini?,"OJK dalam peraturan ini merujuk pada lembaga yang independen yang memiliki fungsi, tugas, dan wewenang pengaturan, pengawasan, pemeriksaan, dan penyidikan di bidang jasa keuangan.","Correct
Otoritas Jasa Keuangan yang selanjutnya disingkat OJK adalah lembaga yang independen, yang mempunyai fungsi, tugas dan wewenang pengaturan, pengawasan, pemeriksaan, dan penyidikan sebagaimana dimaksud dalam Undang-Undang Nomor 21 Tahun 2011 tentang Otoritas Jasa Keuangan.","SAL POJK SLIK
Page 3 Paragraph 1 
Number 1
"
,Apa saja yang dimaksud dengan Lembaga Jasa Keuangan (LJK)?,"LJK adalah lembaga yang melaksanakan kegiatan di sektor perbankan, pasar modal, perasuransian, dana pensiun, Lembaga Pembiayaan, dan Lembaga Jasa Keuangan Lainnya.","Correct
Lembaga Jasa Keuangan yang selanjutnya disingkat LJK adalah lembaga yang melaksanakan kegiatan di sektor perbankan, pasar modal, perasuransian, dana pensiun, Lembaga Pembiayaan, dan Lembaga Jasa Keuangan Lainnya.","SAL POJK SLIK
Page 3 Paragraph 1 
Number 2
"
,Bagaimana definisi Bank Umum dalam peraturan ini?,"Bank Umum adalah bank yang dimaksud dalam Undang-Undang Nomor 7 Tahun 1992 tentang Perbankan, termasuk kantor cabang dari bank yang berkedudukan di luar negeri.","Correct
Bank Umum sebagaimana dimaksud dalam Undang-Undang Nomor 7 Tahun 1992 tentang Perbankan sebagaimana telah diubah dengan Undang-Undang Nomor 10 Tahun 1998 tentang Perubahan atas Undang-Undang Nomor 7 Tahun 1992 tentang Perbankan, termasuk kantor cabang dari bank yang berkedudukan di luar negeri;","SAL POJK SLIK
Page 3 Paragraph 1 
Number 3(a)
"
,Apa yang dimaksud dengan Bank Perkreditan Rakyat (BPR)?,"BPR adalah Bank Perkreditan Rakyat yang dimaksud dalam Undang-Undang Nomor 7 Tahun 1992 tentang Perbankan, yang telah diubah dengan Undang-Undang Nomor 10 Tahun 1998.","Correct
Bank Perkreditan Rakyat yang selanjutnya disingkat BPR adalah Bank Perkreditan Rakyat sebagaimana dimaksud dalam Undang-Undang Nomor 7 Tahun 1992 tentang Perbankan sebagaimana telah diubah dengan Undang-Undang Nomor 10 Tahun 1998 tentang Perubahan atas Undang-Undang Nomor 7 Tahun 1992 tentang Perbankan.","SAL POJK SLIK
Page 3 Paragraph 1 
Number 4
"
,Siapa yang dimaksud dengan Pelapor dalam peraturan ini?,Pelapor adalah pihak yang melakukan pelaporan dan permintaan informasi debitur melalui sistem layanan informasi keuangan kepada OJK.,"Correct
Pelapor adalah pihak yang melakukan pelaporan dan permintaan informasi debitur melalui sistem layanan informasi keuangan kepada OJK.","SAL POJK SLIK
Page 4 Paragraph 1 
Number 8
"
,Bagaimana Laporan Debitur diatur dalam peraturan ini?,Laporan Debitur adalah informasi yang disajikan dan dilaporkan oleh Pelapor kepada OJK menurut tata cara dan bentuk laporan serta media laporan yang ditetapkan oleh OJK.,"Correct
Laporan Debitur adalah informasi yang disajikan dan dilaporkan oleh Pelapor kepada OJK menurut tata cara dan bentuk laporan serta media laporan yang ditetapkan oleh OJK.","SAL POJK SLIK
Page 4 Paragraph 1 
Number 8
"
 ,Apa yang dimaksud dengan Fasilitas Penyediaan Dana dalam peraturan ini?,"Fasilitas Penyediaan Dana adalah penyediaan dana oleh Pelapor kepada Debitur, baik dalam rupiah maupun valuta asing dalam bentuk credit atau pembiayaan, surat berharga, dan transaksi rekening administratif.","Correct (only misspell kredit – credit)
Fasilitas Penyediaan Dana adalah penyediaan dana oleh Pelapor kepada Debitur, baik dalam rupiah maupun valuta asing dalam bentuk kredit atau pembiayaan, surat berharga, dan transaksi rekening administratif serta bentuk fasilitas lain yang dapat dipersamakan dengan itu termasuk yang berdasarkan prinsip syariah sebagaimana diatur dalam ketentuan peraturan perundang-undangan.","SAL POJK SLIK
Page 4 Paragraph 1 
Number 11
"
,Bagaimana definisi Debitur dalam peraturan ini?,"Debitur adalah orang perseorangan, perusahaan, atau pihak yang memperoleh fasilitas penyediaan dana dari Pelapor.","Correct
Debitur adalah orang perseorangan, perusahaan, atau pihak yang memperoleh fasilitas penyediaan dana dari Pelapor.","SAL POJK SLIK
Page 4 Paragraph 1 
Number 9
"
,Apa yang dimaksud dengan Sistem Layanan Informasi Keuangan (SLIK)?,SLIK adalah sistem informasi yang dikelola oleh OJK untuk mendukung pelaksanaan tugas pengawasan dan layanan informasi di bidang keuangan.,"Correct
Sistem Layanan Informasi Keuangan yang selanjutnya disingkat SLIK adalah sistem informasi yang dikelola oleh OJK untuk mendukung pelaksanaan tugas pengawasan dan layanan informasi di bidang keuangan.","SAL POJK SLIK
Page 5 Paragraph 1 
Number 13
"
,Siapa yang dimaksud dengan Lembaga Pengelola Informasi Perkreditan (LPIP)?,LPIP adalah lembaga atau badan yang menghimpun dan mengolah data kredit dan data lain untuk menghasilkan informasi perkreditan sesuai dengan ketentuan peraturan perundang-undangan tentang LPIP.,"Correct
Lembaga Pengelola Informasi Perkreditan yang selanjutnya disingkat LPIP adalah lembaga atau badan yang menghimpun dan mengolah data kredit dan data lain untuk menghasilkan informasi perkreditan sesuai dengan ketentuan peraturan perundang-undangan tentang LPIP.","SAL POJK SLIK
Page 5 Paragraph 1 
Number 14
"
,Bagaimana pelaksanaan pelaporan debitur oleh Pelapor?,"Pelapor wajib menyampaikan Laporan Debitur kepada OJK secara lengkap, akurat, terkini, utuh, dan tepat waktu setiap bulan untuk posisi akhir bulan.","Correct
Pelapor wajib menyampaikan Laporan Debitur kepada OJK secara lengkap, akurat, terkini, utuh, dan tepat waktu setiap bulan untuk posisi akhir bulan.","SAL POJK SLIK
Page 6 Paragraph 2 
Number 1
"
,Apa yang harus dicakup dalam Laporan Debitur?,"Laporan Debitur harus mencakup informasi mengenai Debitur, Fasilitas Penyediaan Dana, agunan, penjamin, pengurus dan pemilik, dan keuangan Debitur.","Correct
Laporan Debitur sebagaimana dimaksud pada ayat (1) wajib mencakup informasi mengenai:
a. Debitur;
b. Fasilitas Penyediaan Dana;
c. agunan;
d. penjamin;
e. pengurus dan pemilik; dan
f. keuangan Debitur.","SAL POJK SLIK
Page 6 Paragraph 2 
Number 2
"
,Bagaimana informasi keuangan Debitur harus dilaporkan?,"Informasi keuangan Debitur harus dilaporkan dalam hal Debitur merupakan perusahaan atau pihak yang menerima Fasilitas Penyediaan Dana dari 1 (satu) Pelapor dengan jumlah seluruh Fasilitas Penyediaan Dana paling sedikit sebesar Rp5.000.000.000,00.","Correct
Informasi mengenai keuangan Debitur sebagaimana dimaksud dalam Pasal 4 ayat (2) huruf f dilaporkan dalam hal Debitur merupakan perusahaan atau pihak yang menerima Fasilitas Penyediaan Dana dari 1 (satu) Pelapor dan/atau pembiayaan bersama lebih dari 1 (satu) Pelapor, dengan jumlah seluruh Fasilitas Penyediaan Dana paling sedikit sebesar Rp5.000.000.000,00 (lima miliar rupiah).","SAL POJK SLIK
Page 7 Paragraph 2 
Number 1
"
,Siapa saja yang dapat meminta Informasi Debitur?,"Pihak yang dapat meminta Informasi Debitur adalah Pelapor, Debitur, LPIP, dan pihak lain.","Correct
(1) Pihak yang dapat meminta Informasi Debitur adalah:
a. Pelapor;
b. Debitur;
c. LPIP; dan
d. pihak lain.","SAL POJK SLIK
Page 12 Paragraph 2 
Number 1
"
,Bagaimana Pelapor memberikan Informasi Debitur kepada pihak yang meminta?,Pelapor memberikan Informasi Debitur atas permintaan pihak yang meminta melalui SLIK secara daring (online) atau secara luring (offline).,"Correct
Pelapor yang telah memenuhi kewajiban pelaporan sebagaimana dimaksud dalam Pasal 4 dapat meminta Informasi Debitur sebagaimana dimaksud dalam Pasal 14 ayat (2) kepada OJK secara daring (online) melalui SLIK.","SAL POJK SLIK
Page 12 Paragraph 2 
Number 1
"
,Apa yang harus dilakukan oleh Pelapor jika mengalami gangguan teknis saat menyampaikan Laporan Debitur?,Pelapor yang mengalami gangguan teknis dapat menyampaikan Laporan Debitur secara luring (offline) paling lambat 3 (tiga) hari kerja setelah batas akhir periode penyampaian Laporan Debitur.,"Correct
Pelapor yang mengalami gangguan teknis dalam menyampaikan Laporan Debitur dan/atau koreksi Laporan Debitur dapat menyampaikan secara luring (offline) paling lama 3 (tiga) hari kerja setelah batas akhir periode penyampaian Laporan Debitur dan/atau koreksi Laporan Debitur dengan surat pemberitahuan tertulis kepada OJK disertai dokumen pendukung.","SAL POJK SLIK
Page 10 Paragraph 1 
Number 2
"
,Bagaimana dengan sanksi jika Pelapor melanggar ketentuan dalam peraturan ini?,"Pelapor yang melanggar ketentuan akan dikenakan sanksi administratif berupa teguran tertulis, peringatan tertulis, denda, atau sanksi administratif lainnya sesuai dengan ketentuan peraturan perundang-undangan.","Correct
Pelapor sebagaimana dimaksud dalam Pasal 2, yang melanggar ketentuan sebagaimana dimaksud dalam Pasal 7 huruf b, Pasal 8 ayat (1), Pasal 8 ayat (2) huruf a, Pasal 8 ayat (2) huruf b, Pasal 9 ayat (1), Pasal 9 ayat (2), Pasal 9 ayat (4), Pasal 10 ayat (3), dan Pasal 15 ayat (4), selain dikenakan sanksi administratif berupa teguran tertulis atau peringatan tertulis, denda, dan/atau sanksi administratif lainnya sebagaimana dimaksud dalam Pasal 32, Pasal 33, Pasal 34, dan/atau Pasal 35, dapat dikenakan sanksi administratif berupa:
a. penurunan tingkat kesehatan;
b. pembekuan kegiatan usaha tertentu;
c. penilaian kemampuan dan kepatutan; dan/atau
d. sanksi administratif lain,
sesuai dengan ketentuan peraturan perundang-undangan.","SAL POJK SLIK
Page 23  Paragraph 3 "
,Bagaimana dengan pengaduan Debitur mengenai ketidakakuratan Informasi Debitur?,Debitur dapat mengajukan pengaduan mengenai ketidakakuratan Informasi Debitur secara langsung kepada Pelapor yang bersangkutan.,"Correct
Debitur dapat mengajukan pengaduan mengenai ketidakakuratan Informasi Debitur secara langsung kepada Pelapor yang bersangkutan.","SAL POJK SLIK
Page 15  Paragraph 3"
,Siapa yang bertanggung jawab untuk menangani pengaduan Debitur?,Pelapor wajib menindaklanjuti pengaduan mengenai ketidakakuratan Informasi Debitur yang diajukan oleh Debitur.,"Correct 
Pelapor wajib menindaklanjuti pengaduan mengenai ketidakakuratan Informasi Debitur yang diajukan oleh Debitur sebagaimana dimaksud dalam Pasal 22.

Note:
But the question needs to be added: “Siapa yang bertanggung jawab untuk menangani pengaduan ketidakakuratan informasi Debitur?”","SAL POJK SLIK
Page 15  Paragraph 4
Number 1"
,Bagaimana batas waktu untuk menyelesaikan pengaduan Debitur?,Pelapor wajib menyelesaikan pengaduan mengenai ketidakakuratan Informasi Debitur paling lambat 20 (dua puluh) hari kerja setelah tanggal pengaduan diterima.,"Correct 
Pelapor wajib menyelesaikan pengaduan mengenai ketidakakuratan Informasi Debitur sebagaimana dimaksud dalam Pasal 22 paling lama 20 (dua puluh) hari kerja setelah tanggal pengaduan diterima oleh Pelapor.

Note:
But the question needs to be added: “Bagaimana batas waktu untuk menyelesaikan pengaduan ketidakakuratan informasi Debitur?”","SAL POJK SLIK
Page 16  Paragraph 2
Number 1"
,Bagaimana dengan koreksi Laporan Debitur jika ditemukan kesalahan?,Pelapor menyampaikan koreksi Laporan Debitur kepada OJK setelah melaporkan temuan atau melakukan penelitian atas permasalahan yang diadukan oleh Debitur.,"Correct 
Dalam hal berdasarkan hasil penelitian atas permasalahan yang diadukan sebagaimana dimaksud dalam Pasal 23 ayat (2) merupakan pengaduan yang disebabkan oleh kesalahan Pelapor, Pelapor menyampaikan koreksi Laporan Debitur kepada OJK.","SAL POJK SLIK
Page 16  Paragraph 4
Number 1"
,Siapa yang dapat meminta sanksi administratif atas Pelapor yang melanggar ketentuan?,OJK dapat memberikan sanksi administratif kepada Pelapor yang melanggar ketentuan dalam peraturan ini.,"Correct 
Pelapor yang atas dasar temuan OJK sebagaimana dimaksud dalam Pasal 7 huruf b dikenakan sanksi administratif berupa denda:","SAL POJK SLIK
Page 22  Paragraph 1
Number 2"
